id,product gcmd id,sds name,product,product version,processing level,measurements,keywords,time interval,spatial resolution,instrument,platform,platform instrument
MOD08_D3_051_Angstrom_Exponent_1_Ocean_QA_Mean,MOD08_D3,Angstrom_Exponent_1_Ocean_QA_Mean,MOD08_D3,051,3,Angstrom Exponent,Angstrom;Exponent;550/865 nm;550 nm;865 nm;Dark;Target;MODIS;Terra;Ocean-only;MODIS-Terra;Angstrom Exponent;Dark Target;MOD08_D3,daily,1 deg.,MODIS,Terra,MODIS-Terra
MOD08_D3_051_Angstrom_Exponent_Land_QA_Mean,MOD08_D3,Angstrom_Exponent_Land_QA_Mean,MOD08_D3,051,3,Angstrom Exponent,Angstrom;Exponent;470/660 nm;470 nm;660 nm;Dark;Target;MODIS;Terra;Land-only;MODIS-Terra;Angstrom Exponent;Dark Target;MOD08_D3,daily,1 deg.,MODIS,Terra,MODIS-Terra
MOD08_D3_051_Optical_Depth_Land_And_Ocean_Mean,MOD08_D3,Optical_Depth_Land_And_Ocean_Mean,MOD08_D3,051,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;550 nm;Dark;Target;MODIS;Terra;MODIS-Terra;Aerosol Optical Depth;AOD;Dark Target;Total Aerosol Optical Depth;MOD08_D3;Daily,daily,1 deg.,MODIS,Terra,MODIS-Terra
MOD08_D3_051_Optical_Depth_Land_And_Ocean_Pixel_Counts,MOD08_D3,Optical_Depth_Land_And_Ocean_Pixel_Counts,MOD08_D3,051,3,Statistics,Pixel;Count;Aerosol;Optical;Depth;550 nm;Dark;Target;MODIS;Terra;MODIS-Terra;Aerosol Optical Depth;AOD;Dark Target;Pixel Count;Statistics;MOD08_D3;Daily,daily,1 deg.,MODIS,Terra,MODIS-Terra
MOD08_D3_051_Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean,MOD08_D3,Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean,MOD08_D3,051,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;550 nm;Deep;Blue;Land-only;MODIS;Terra;MODIS-Terra;Aerosol Optical Depth;AOD;Deep Blue;Total Aerosol Optical Depth;MOD08_D3;Daily,daily,1 deg.,MODIS,Terra,MODIS-Terra
MYD08_D3_051_Angstrom_Exponent_1_Ocean_QA_Mean,MYD08_D3,Angstrom_Exponent_1_Ocean_QA_Mean,MYD08_D3,051,3,Angstrom Exponent,Angstrom;Exponent;550/865 nm;550 nm;865 nm;Dark;Target;MODIS;Aqua;Ocean-only;MODIS-Aqua;Angstrom Exponent;Dark Target;MYD08_D3,daily,1 deg.,MODIS,Aqua,MODIS-Aqua
MYD08_D3_051_Angstrom_Exponent_Land_QA_Mean,MYD08_D3,Angstrom_Exponent_Land_QA_Mean,MYD08_D3,051,3,Angstrom Exponent,Angstrom;Exponent;470/660 nm;470 nm;660 nm;Dark;Target;MODIS;Aqua;Land-only;MODIS-Aqua;Angstrom Exponent;Dark Target;MYD08_D3,daily,1 deg.,MODIS,Aqua,MODIS-Aqua
MYD08_D3_051_Optical_Depth_Land_And_Ocean_Mean,MYD08_D3,Optical_Depth_Land_And_Ocean_Mean,MYD08_D3,051,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;550 nm;Dark;Target;MODIS;Aqua;MODIS-Aqua;Aerosol Optical Depth;AOD;Dark Target;Total Aerosol Optical Depth;MYD08_D3;Daily,daily,1 deg.,MODIS,Aqua,MODIS-Aqua
MYD08_D3_051_Optical_Depth_Land_And_Ocean_Pixel_Counts,MYD08_D3,Optical_Depth_Land_And_Ocean_Pixel_Counts,MYD08_D3,051,3,Statistics,Pixel;Count;Aerosol;Optical;Depth;550 nm;Dark;Target;MODIS;Aqua;MODIS-Aqua;Aerosol Optical Depth;AOD;Dark Target;Pixel Count;Statistics;MYD08_D3,daily,1 deg.,MODIS,Aqua,MODIS-Aqua
MYD08_D3_051_Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean,MYD08_D3,Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean,MYD08_D3,051,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;550 nm;Deep;Blue;MODIS;Aqua;Land-only;MODIS-Aqua;Aerosol Optical Depth;AOD;Deep Blue;Total Aerosol Optical Depth;MYD08_D3;Daily,daily,1 deg.,MODIS,Aqua,MODIS-Aqua
OMAERUVd_003_FinalAerosolAbsOpticalDepth388,GES_DISC_OMAERUVd_V003,FinalAerosolAbsOpticalDepth388,OMAERUVd,003,3,Component Aerosol Optical Depth,Aerosol;Absorption;Optical;Depth;388 nm;near-UV;OMI;Aerosol Absorption Optical Depth;Component Aerosol Optical Depth;OMAERUVd,daily,1 deg.,OMI,Aura,OMI
OMAERUVd_003_FinalAerosolAbsOpticalDepth500,GES_DISC_OMAERUVd_V003,FinalAerosolAbsOpticalDepth500,OMAERUVd,003,3,Component Aerosol Optical Depth,Aerosol;Absorption;Optical;Depth;500 nm;near-UV;OMI;Aerosol Absorption Optical Depth;Component Aerosol Optical Depth;OMAERUVd,daily,1 deg.,OMI,Aura,OMI
OMAERUVd_003_FinalAerosolExtOpticalDepth388,GES_DISC_OMAERUVd_V003,FinalAerosolExtOpticalDepth388,OMAERUVd,003,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;388 nm;near-UV;OMI;Aerosol Optical Depth;AOD;Total Aerosol Optical Depth;OMAERUVd,daily,1 deg.,OMI,Aura,OMI
OMAERUVd_003_FinalAerosolExtOpticalDepth500,GES_DISC_OMAERUVd_V003,FinalAerosolExtOpticalDepth500,OMAERUVd,003,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;500 nm;near-UV;OMI;Aerosol Optical Depth;AOD;Total Aerosol Optical Depth;OMAERUVd,daily,1 deg.,OMI,Aura,OMI
OMTO3d_003_UVAerosolIndex,GES_DISC_OMTO3d_V003,UVAerosolIndex,OMTO3d,003,3,Aerosol Index,UV;Aerosol;Index;Aerosol Index;UV Aerosol Index;OMTO3d,daily,1 deg.,OMI,Aura,OMI
MIL3DAE_4_Optical_depth_average,MIL3DAE4,Optical_depth_average,MIL3DAE,4,3,Total Aerosol Optical Depth,Aerosol;Optical;Depth;555 nm;MISR;Aerosol Optical Depth;AOD;Total Aerosol Optical Depth;MIL3DAE,daily,0.5 deg.,MISR,Terra,MISR
TRMM_3B42_daily_precipitation_V7,GES_DISC_TRMM_3B42_daily_V7,precipitation,TRMM_3B42_daily,7,3,Precipitation,Daily;Precipitation;Precipitation Rate;Precipitation Rate Estimate;Rainfall;Rainfall Rate;Rainfall Rate Estimate;Estimate;TRMM;3B42;derived;PR;TMI;VIRS;TRMM_3B42_daily;TOVAS;TMPA,daily,0.25 deg.,Multi-instruments,TRMM,TRMM
AIRNOW_PM_001_pmfine,,pmfine,AIRNOW_PM,001,3,Particulate Matter,Fine;Particulate;Matter;Fine Particulate Matter;Particulate Matter;PM2.5;EPA;AIRNow;AIRNOW_PM,daily,1.0307307 x 1.015625 deg.,AIRNow,EPA,EPA AIRNow
NLDAS_FORA0125_H_002_apcpsfc,GES_DISC_NLDAS_FORA0125_H_V002,apcpsfc,NLDAS_FORA0125_H,002,4,Precipitation,Precipitation;Hourly;Total;NLDAS;Phase 2;Primary;Forcing;Data;Precipitation;NLDAS_FORA0125_H,hourly,0.125 deg.,NLDAS Primary Forcing Data,NLDAS Primary Forcing Data,NLDAS Model
